,date,open,high,low,close,volume,tic,day
1004,2008-12-29,8.59000015258789,8.960000038146973,8.5,5.7034454345703125,6358200,M,0
1005,2008-12-30,8.960000038146973,9.579999923706055,8.609999656677246,6.037057876586914,6841600,M,1
1006,2008-12-31,9.270000457763672,10.449999809265137,9.140000343322754,6.640119552612305,12894900,M,2
1007,2009-01-02,10.4399995803833,11.109999656677246,10.130000114440918,7.044300079345703,8828800,M,4
1008,2009-01-05,10.800000190734863,11.930000305175781,10.619999885559082,7.480559825897217,15490300,M,0
1009,2009-01-06,11.6899995803833,11.930000305175781,11.399999618530273,7.499809741973877,11863400,M,1
1010,2009-01-07,11.449999809265137,11.770000457763672,11.0600004196167,7.256015300750732,12461500,M,2
1011,2009-01-08,10.9399995803833,11.65999984741211,10.739999771118164,7.012223720550537,15256500,M,3
1012,2009-01-09,10.8100004196167,11.210000038146973,10.119999885559082,6.608040809631348,12694400,M,4
1013,2009-01-12,10.0600004196167,10.529999732971191,9.75,6.370665550231934,9024900,M,0
1014,2009-01-13,9.880000114440918,10.350000381469727,9.75,6.447652339935303,9879300,M,1
1015,2009-01-14,9.819999694824219,9.829999923706055,9.229999542236328,6.075549125671387,12016400,M,2
1016,2009-01-15,9.479999542236328,10.140000343322754,8.9399995803833,6.2487688064575195,12560000,M,3
1017,2009-01-16,10.050000190734863,10.09000015258789,9.319999694824219,6.261601448059082,9625300,M,4
1018,2009-01-20,9.760000228881836,9.90999984741211,8.539999961853027,5.600796699523926,8860400,M,1
1019,2009-01-21,8.9399995803833,9.279999732971191,8.630000114440918,5.940823078155518,8219000,M,2
1020,2009-01-22,9.489999771118164,10.020000457763672,9.130000114440918,6.024224281311035,13791600,M,3
1021,2009-01-23,9.010000228881836,9.930000305175781,9.010000228881836,6.191030025482178,10147700,M,4
1022,2009-01-26,9.649999618530273,10.100000381469727,9.489999771118164,6.242354393005371,7971700,M,0
1023,2009-01-27,9.579999923706055,9.949999809265137,9.3100004196167,6.139706134796143,8661800,M,1
1024,2009-01-28,9.770000457763672,10.25,9.760000228881836,6.441237926483154,9105300,M,2
1025,2009-01-29,9.84000015258789,9.989999771118164,9.380000114440918,6.037057876586914,9812100,M,3
1026,2009-01-30,9.460000038146973,9.59000015258789,8.699999809265137,5.741940498352051,15059300,M,4
1027,2009-02-02,8.699999809265137,9.489999771118164,7.5,5.510978698730469,42781100,M,0
1028,2009-02-03,8.40999984741211,9.010000228881836,8.130000114440918,5.664952754974365,20670100,M,1
1029,2009-02-04,8.720000267028809,8.800000190734863,8.100000381469727,5.3377580642700195,16566500,M,2
1030,2009-02-05,8.670000076293945,8.989999771118164,8.369999885559082,5.6136298179626465,18002200,M,3
1031,2009-02-06,8.859999656677246,9.90999984741211,8.760000228881836,6.223109245300293,16564600,M,4
1032,2009-02-09,9.699999809265137,9.850000381469727,9.170000076293945,6.069132328033447,8117700,M,0
1033,2009-02-10,9.350000381469727,9.520000457763672,8.710000038146973,5.632875442504883,9248400,M,1
1034,2009-02-11,8.869999885559082,9.1899995803833,8.260000228881836,5.453239440917969,12665200,M,2
1035,2009-02-12,8.4399995803833,8.75,8.100000381469727,5.587965488433838,15384700,M,3
1036,2009-02-13,8.850000381469727,8.970000267028809,8.279999732971191,5.536640167236328,12614500,M,4
1037,2009-02-17,8.0600004196167,8.4399995803833,7.980000019073486,5.183784008026123,13025600,M,1
1038,2009-02-18,8.170000076293945,8.270000457763672,7.71999979019165,5.061888217926025,12778100,M,2
1039,2009-02-19,8.109999656677246,8.350000381469727,7.599999904632568,4.914329528808594,12208200,M,3
1040,2009-02-20,7.550000190734863,8.0,7.349999904632568,5.042641639709473,16329100,M,4
1041,2009-02-23,8.0,8.0,7.349999904632568,4.747525691986084,15378400,M,0
1042,2009-02-24,7.510000228881836,8.430000305175781,7.300000190734863,5.318511486053467,23297000,M,1
1043,2009-02-25,8.239999771118164,8.420000076293945,7.460000038146973,5.196614742279053,18264400,M,2
1044,2009-02-26,8.210000038146973,8.390000343322754,7.769999980926514,5.029809951782227,7878200,M,3
1045,2009-02-27,7.619999885559082,8.119999885559082,7.420000076293945,5.049057483673096,8228300,M,4
1046,2009-03-02,7.570000171661377,7.960000038146973,7.329999923706055,4.728277683258057,14332500,M,0
1047,2009-03-03,7.400000095367432,7.539999961853027,7.010000228881836,4.606383323669434,13512400,M,1
1048,2009-03-04,7.480000019073486,7.570000171661377,7.079999923706055,4.715447902679443,11646300,M,2
1049,2009-03-05,7.119999885559082,7.230000019073486,6.269999980926514,4.221449375152588,17432600,M,3
1050,2009-03-06,7.050000190734863,7.449999809265137,6.650000095367432,4.452408313751221,21078700,M,4
1051,2009-03-09,6.820000171661377,7.360000133514404,6.670000076293945,4.36259126663208,12282000,M,0
1052,2009-03-10,7.0,7.579999923706055,6.960000038146973,4.72186279296875,17343700,M,1
1053,2009-03-11,7.440000057220459,8.050000190734863,7.320000171661377,5.07067346572876,16070300,M,2
