,Unnamed: 0,date,open,high,low,close,volume,tic,day
1740,1740,2017-11-30,146.89292907714844,147.6195068359375,146.34799194335938,114.42066955566406,6799837,IBM,3
1741,1741,2017-12-01,147.6099395751953,148.2026824951172,146.1854705810547,115.00772857666016,5824023,IBM,4
1742,1742,2017-12-04,149.10133361816406,149.90440368652344,148.25047302246094,116.2710418701172,4878858,IBM,0
1743,1743,2017-12-05,149.56979370117188,149.84703063964844,147.87762451171875,115.44618225097656,5301128,IBM,1
1744,1744,2017-12-06,147.32313537597656,149.3498992919922,147.31358337402344,114.51726531982422,3567592,IBM,2
1745,1745,2017-12-07,146.8355712890625,147.65774536132812,146.52008056640625,114.12339782714844,3944571,IBM,3
1746,1746,2017-12-08,148.1644287109375,148.2122344970703,146.7973175048828,115.04486083984376,3682234,IBM,4
1747,1747,2017-12-11,148.62332153320312,149.034423828125,147.7724609375,115.4907684326172,4291424,IBM,0
1748,1748,2017-12-12,150.38241577148438,150.90821838378906,148.33651733398438,116.47914123535156,6612603,IBM,1
1749,1749,2017-12-13,149.71319580078125,149.8374786376953,147.12237548828125,114.3760757446289,5922034,IBM,2
1750,1750,2017-12-14,147.8011474609375,148.28871154785156,146.9407196044922,114.44293975830078,4850720,IBM,3
1751,1751,2017-12-15,146.8546905517578,147.0363311767578,145.3441619873047,113.32823181152344,11798775,IBM,4
1752,1752,2017-12-18,146.8355712890625,147.3996124267578,146.47227478027344,113.94505310058594,5327069,IBM,0
1753,1753,2017-12-19,147.27532958984375,147.3900604248047,146.35755920410156,113.8707046508789,4305754,IBM,1
1754,1754,2017-12-20,146.89292907714844,147.12237548828125,146.06118774414062,113.66265106201172,3959842,IBM,2
1755,1755,2017-12-21,146.4340362548828,146.71128845214844,144.82791137695312,112.58511352539062,4344979,IBM,3
1756,1756,2017-12-22,145.14340209960938,146.27151489257812,144.8374786376953,113.32823181152344,3128168,IBM,4
1757,1757,2017-12-26,145.8030548095703,147.09368896484375,145.7935028076172,113.5734634399414,2593034,IBM,1
1758,1758,2017-12-27,146.2237091064453,146.44358825683594,145.89866638183594,113.7964324951172,2248168,IBM,2
1759,1759,2017-12-28,146.46270751953125,147.34225463867188,146.46270751953125,114.4726791381836,2811230,IBM,3
1760,1760,2017-12-29,147.3900604248047,147.91586303710938,146.67303466796875,114.0119171142578,3480147,IBM,4
1761,1761,2018-01-02,147.70555114746094,148.0019073486328,146.7877655029297,114.6287078857422,4395815,IBM,1
1762,1762,2018-01-03,150.420654296875,152.7820281982422,149.45506286621094,117.77960968017578,9875914,IBM,2
1763,1763,2018-01-04,152.62905883789062,155.181640625,152.3613739013672,120.1650848388672,7903785,IBM,3
1764,1764,2018-01-05,155.29637145996094,155.73614501953125,154.01528930664062,120.75215911865234,5434807,IBM,4
1765,1765,2018-01-08,155.50669860839844,156.70172119140625,154.5889129638672,121.48041534423828,5478425,IBM,0
1766,1766,2018-01-09,156.69215393066406,157.29444885253906,155.88909912109375,121.74797058105467,4541523,IBM,1
1767,1767,2018-01-10,155.74569702148438,157.10325622558594,155.35372924804688,122.00804901123048,4366109,IBM,2
1768,1768,2018-01-11,157.55258178710938,157.68641662597656,156.11854553222656,122.02291107177734,3969047,IBM,3
1769,1769,2018-01-12,156.806884765625,157.49522399902344,155.8604278564453,121.23519134521484,5263367,IBM,4
1770,1770,2018-01-16,157.83938598632812,158.02102661132812,156.16635131835938,121.7628173828125,8152733,IBM,1
1771,1771,2018-01-17,160.6214141845703,161.69215393066406,159.90440368652344,125.32991027832033,12248660,IBM,2
1772,1772,2018-01-18,162.52389526367188,163.6042022705078,160.75526428222656,125.67918395996094,14915228,IBM,3
1773,1773,2018-01-19,157.2275390625,158.12619018554688,154.2064971923828,120.66303253173828,22146435,IBM,4
1774,1774,2018-01-22,154.4072723388672,156.76864624023438,154.0248565673828,120.83391571044922,8870917,IBM,0
1775,1775,2018-01-23,155.65965270996094,158.94837951660156,155.36329650878906,123.54633331298828,7809645,IBM,1
1776,1776,2018-01-24,159.4168243408203,161.30018615722656,157.5717010498047,122.8923568725586,5904670,IBM,2
1777,1777,2018-01-25,158.61376953125,159.4455108642578,157.92543029785156,122.96675872802734,3454415,IBM,3
1778,1778,2018-01-26,158.8145294189453,160.0478057861328,158.49903869628906,124.35636901855467,3962143,IBM,4
1779,1779,2018-01-29,160.08604431152344,160.98471069335938,158.70936584472656,123.955078125,3678782,IBM,0
1780,1780,2018-01-30,158.90057373046875,159.43594360351562,155.98471069335938,121.59188842773438,5127806,IBM,1
1781,1781,2018-01-31,156.5487518310547,157.73422241210938,155.602294921875,121.65135955810548,4260149,IBM,2
1782,1782,2018-02-01,156.0133819580078,156.91204833984375,154.78012084960938,120.6852798461914,4638173,IBM,3
1783,1783,2018-02-02,154.5889129638672,154.87571716308594,151.88336181640625,118.180908203125,5493487,IBM,4
1784,1784,2018-02-05,150.9464569091797,151.52963256835938,143.4034423828125,113.35052490234376,9148944,IBM,0
1785,1785,2018-02-06,143.68069458007812,148.65200805664062,142.55258178710938,115.438720703125,10321614,IBM,1
1786,1786,2018-02-07,147.3900604248047,148.50860595703125,146.53919982910156,114.33148193359376,6432063,IBM,2
1787,1787,2018-02-08,145.77438354492188,146.42446899414062,141.0133819580078,110.7593002319336,7090939,IBM,3
1788,1788,2018-02-09,142.06500244140625,143.91969299316406,138.04971313476562,112.20018768310548,8188402,IBM,4
1789,1789,2018-02-12,144.26385498046875,145.69789123535156,143.69024658203125,113.6185302734375,6151944,IBM,0
1790,1790,2018-02-13,144.26385498046875,144.53155517578125,143.0592803955078,113.13072967529295,5115986,IBM,1
1791,1791,2018-02-14,143.5850830078125,148.18356323242188,143.4034423828125,116.14006805419922,5731034,IBM,2
1792,1792,2018-02-15,148.6615753173828,149.96176147460938,146.9407196044922,117.078125,5882286,IBM,3
1793,1793,2018-02-16,148.86233520507812,150.85086059570312,148.8432159423828,117.20569610595705,4479913,IBM,4
1794,1794,2018-02-20,148.93881225585938,149.10133361816406,147.10325622558594,116.4402084350586,4696122,IBM,1
1795,1795,2018-02-21,148.5946502685547,149.89483642578125,147.13192749023438,115.53972625732422,3900116,IBM,2
1796,1796,2018-02-22,147.70555114746094,148.2218017578125,146.07073974609375,114.95433044433594,4209732,IBM,3
1797,1797,2018-02-23,147.51434326171875,148.9961700439453,147.29444885253906,116.7104263305664,3405881,IBM,4
1798,1798,2018-02-26,148.9579315185547,151.89292907714844,148.67112731933594,119.0067901611328,3776374,IBM,0
